name,realname,magnitude,prob,tectonic_type,batch,video,version,notes,planes
Astrolabe02,Astrolabe (Segment 2),6.69,2.75,Volcanic,,,,,[[[-37.0351| 176.746]| [-37.1995| 176.5568]| [-37.1167| 176.4612]| [-36.9525| 176.6504]]]
Astrolabe03,Astrolabe (Segment 3),6.48,4.4,Volcanic,,,,,[[[-37.1265| 176.6806]| [-37.0272| 176.8015]| [-37.1055| 176.9027]| [-37.205| 176.7819]]]
Astrolabe04,,6.34,7.35,Volcanic,,,,,[[[-37.015| 176.8533]| [-36.945| 176.945]| [-37.01| 177.0237]| [-37.08| 176.9321]]]
Astrolabe05,Astrolabe (Segment 5),6.73,7.02,Volcanic,2,https://youtu.be/uulb34Lyymc,1,,[[[-37.0265| 176.8089]| [-36.9289| 176.8966]| [-37.0099| 176.9942]| [-37.1076| 176.9066]]| [[-36.9283| 176.8974]| [-36.8588| 177.0265]| [-36.9398| 177.124]| [-37.0094| 176.9949]]]
Astrolabe06,,6.27,6.84,Volcanic,,,,,[[[-36.9483| 176.805]| [-36.9733| 176.79]| [-36.8878| 176.7533]| [-36.8628| 176.7684]]| [[-36.9733| 176.79]| [-37.0083| 176.79]| [-36.9228| 176.7533]| [-36.8878| 176.7533]]| [[-37.0083| 176.79]| [-37.0267| 176.775]| [-36.9411| 176.7383]| [-36.9228| 176.7533]]]
Astrolabe07,Astrolabe (Segment 7),6.73,6.96,Volcanic,2,https://www.youtube.com/watch?v=UFt2d6uT7rU,,,[[[-36.9782| 176.7973]| [-36.8839| 176.9098]| [-36.9697| 177.0009]| [-37.0641| 176.8883]]| [[-36.8833| 176.9107]| [-36.8188| 177.0314]| [-36.9046| 177.1224]| [-36.9692| 177.0016]]]
Astrolabe08,,6.18,8.19,Volcanic,,,,,[[[-36.9467| 176.81]| [-36.915| 176.8283]| [-36.964| 176.9234]| [-36.9957| 176.9051]]| [[-36.915| 176.8283]| [-36.8883| 176.8567]| [-36.9374| 176.9517]| [-36.964| 176.9234]]]
Awakeri,Awakeri,6.14,1.31,Volcanic,,,,,[[[-37.9586| 176.8779]| [-38.0061| 176.8599]| [-37.9856| 176.8148]| [-37.9381| 176.8329]]| [[-38.007| 176.8595]| [-38.0845| 176.8167]| [-38.0639| 176.7715]| [-37.9865| 176.8144]]]
AwatNEVer,Awatere(NE)-Vernon,7.25,1.08,Crustal,2,https://www.youtube.com/watch?v=xFdenJtCGq4,1,,[[[-41.5399| 174.4493]| [-41.5349| 174.2538]| [-41.5074| 174.2231]| [-41.5124| 174.4185]]| [[-41.5349| 174.2526]| [-41.5382| 174.1888]| [-41.5107| 174.158]| [-41.5075| 174.2218]]| [[-41.5384| 174.1877]| [-41.5781| 174.0471]| [-41.5506| 174.0163]| [-41.5109| 174.1568]]| [[-41.5787| 174.0464]| [-41.6328| 174.0251]| [-41.6053| 173.9942]| [-41.5512| 174.0156]]| [[-41.6335| 174.0244]| [-42.0596| 173.2837]| [-42.032| 173.2528]| [-41.6061| 173.9934]]]
AwatNEVerCl,Awatere(NE)-Cloudy Bay,7.26,1.18,Crustal,2,https://www.youtube.com/watch?v=pWvX4206lsQ,1,,[[[-41.4865| 174.4393]| [-41.465| 174.3271]| [-41.4375| 174.2964]| [-41.459| 174.4085]]| [[-41.465| 174.326]| [-41.4715| 174.2805]| [-41.444| 174.2497]| [-41.4375| 174.2952]]| [[-41.4719| 174.2795]| [-41.5379| 174.1887]| [-41.5104| 174.1579]| [-41.4444| 174.2487]]| [[-41.5384| 174.1877]| [-41.5781| 174.0471]| [-41.5506| 174.0163]| [-41.5109| 174.1568]]| [[-41.5787| 174.0464]| [-41.6328| 174.0251]| [-41.6053| 173.9942]| [-41.5512| 174.0156]]| [[-41.6335| 174.0244]| [-42.0596| 173.2837]| [-42.032| 173.2528]| [-41.6061| 173.9934]]]
AwatereNE,Awatere(NE),7.18,1.55,Crustal,,,,,[[[-41.5351| 174.2527]| [-41.633| 174.0254]| [-41.6055| 173.9946]| [-41.5077| 174.2219]]| [[-41.6335| 174.0244]| [-42.0596| 173.2837]| [-42.032| 173.2528]| [-41.6061| 173.9934]]]
